"","d_1","d_2","d_3","P_11","P_22","P_33","P_12","P_21","P_31","sigma","mu_1","mu_2","mu_3","Neg_lklh","Opt. Converged"
"Vietnam",1.13796596682214,0.685404135792928,0,0.699966082436044,0.969005162270054,0,0.299999606255299,0.0309942766326188,0,0.0107122012340525,0.0442607087360924,-0.00874478848901057,0,-251.955405923105,1
"Mongolia",1.40074544413312,1.20270221792486,0,0.709314582479242,0.84129485778488,0,0.290685261829002,0.158705141033969,0,0.00101559247207936,0.0028509520893102,-5.57526539398396e-05,0,-392.125012401279,0
"Russian Federation",1.15044518491638,0.877281931345956,0.515202903980793,0.948654715462629,0.600003825063323,0.798014783145004,0.0513451201279921,0.000118937530984267,2.03952789266804e-05,0.0451864733513948,0.0196636452994838,0.0822949469999488,0.0644058897124574,-124.37739255027,1
"Colombia",0,0.734138846502666,0,0,0.998999929299591,0,0,0.000845722754844557,0,0.00612963153455766,0,-0.0115136284103392,0,-311.336157225927,1
"Panama",1.06292397423485,0.673109648583307,0,0.794106394167297,0.814683455766243,0,0.205893506746331,0.185316505278684,0,0.00285819344686321,-0.0186403192753462,-0.00387906724741978,0,-310.007443376081,1
"Armenia, Republic of",1.02869638444529,0.574802052321764,0,0.843855500397261,0.938202112118704,0,0.155554838093054,0.0598012345751156,0,0.00100000705437616,0.00894425319382206,-0.000118099013189188,0,-533.26785274213,1
"Cambodia",0,0.383265847620762,0,0,0.998999979093446,0,0,0.000997271172005293,0,0.00135811703641109,0,-0.00124955249616318,0,-470.43506420778,0
"Venezuela, Republica Bolivariana de",0.895391709164808,0.096053515685356,1.08461371174872,0.978031352331402,0.818687169689122,0.600000085704534,1.3853668068538e-07,0.175791143702114,0.206887147736641,0.0184812625315624,0.0022568679506816,0.178012005483806,0.0403529778631854,-217.502198587264,1
"Japan",0,0.607554971937272,0,0,0.998999999457494,0,0,0.000998516542133836,0,0.105149071723215,0,0.244477833623721,0,-69.5500901731311,0
"South Africa",1.18626240216873,1.05744565919081,0,0.728432669478464,0.957406343749411,0,0.271566315958033,0.0425932945178791,0,0.00675524101788387,0.0647382636374704,0.0044470018614361,0,-776.93853366594,1
"Philippines",0.858406746372032,0.755711072530742,0,0.811600712211291,0.933685910278258,0,0.188396602741057,0.0663139453690329,0,0.00553832402512947,0.0193262197846842,-0.00144655870185365,0,-560.360778748443,1
"Denmark",1.02388851251927,0.693454370125769,0,0.732472528586721,0.987194219378731,0,0.267527440798388,0.0128052837341887,0,0.0113162248582915,0.00148271694160428,0.0156509294850683,0,-513.884424409783,1
"Papua New Guinea",0,0.572672611970704,0,0,0.998740001406705,0,0,0.000413481698545287,0,0.00100000102804858,0,-4.76342978826694e-05,0,-597.317037727513,1
"Thailand",0.918830909783353,1.10463724148242,1.06595867563491,0.943978055342844,0.619274105608195,0.600007237196593,0.0396805791594542,0.228280188531801,2.44069817555837e-07,0.0116812051000325,0.0133329269449971,0.0793812680157405,0.13546862213435,-436.009114221652,1
"Portugal",1.28647105598053,0.938768411191373,0,0.708337057768535,0.868414342935371,0,0.291661915775604,0.131561539511954,0,0.00835470958929774,0.146797671441489,0.00362723587385814,0,-518.084848534566,10
"United Kingdom",1.08502362327618,0.998083418015978,0,0.708181444042479,0.935448225566099,0,0.291812195861804,0.0645510468868477,0,0.0339771947339025,0.0468968423603523,0.0678725211657888,0,-313.365006039611,1
"Macedonia, FYR",0,0.194088596077346,0,0,0.875926647436015,0,0,0.124067518851922,0,0.00117856908029743,0,-0.000757862205636063,0,-439.75905081813,1
"Netherlands",0.537373968756534,1.05401530858977,0.61512793892302,0.969116597447641,0.600021786222164,0.700937178351622,0.0308832896013427,0.0375254702944487,8.49339339722336e-06,0.0147509236613778,0.02271110564045,0.0453978710519079,0.136248084970552,-512.510090031751,1
"Latvia",0.477979832820604,1.03670754310993,0,0.613373084038085,0.85630070812703,0,0.229719422651078,0.115936947221956,0,0.00171176949055005,0.00309298703547927,0.00134350627942867,0,-458.937432203021,1
"Singapore",1.20708841137436,0.77470687069549,0.736568331614168,0.64088113725408,0.893420362853559,0.746931288165378,6.49316712804908e-06,0.10657240680173,0.171771285556948,0.0122578280473134,0.0331038797115029,0.0477871185196793,0.101900621131587,-227.69608392786,1
"Italy",1.01354122018408,0.950579070446776,0.975352590325785,0.863647030701453,0.632419308767238,0.6061332024399,0.136351599612613,0.299999897976629,0.282680501224291,0.0265488230625362,0.0174089519682317,0.0868080119606837,0.185011892597421,-310.595994219253,1
"Bahamas, The",0,0.497719811475909,0,0,0.998963745721121,0,0,0.000431908292124987,0,0.00100003159952041,0,-0.000445009428508803,0,-900.797236422297,1
"France",0,1.00413175183826,0.763404086998645,0,0.600038099715128,0.969028715045591,0,1.78729694068038e-06,2.29419004497026e-08,0.039592484005845,0,0.216486762906272,0.107384581436982,-273.929104968074,1
"Iceland",1.2040176092838,0.575390132262883,0,0.699005169138975,0.832651144887985,0,0.298116932222048,0.16604481719878,0,0.00183671199109528,0.19728223234968,0.00578689137294088,0,-766.223546726197,1
"Ecuador",1.39189968335325,0.48844660261162,0,0.700182520872259,0.871443678131634,0,0.29957057622558,0.128531911161294,0,0.00407099325594592,0.129245436447254,0.00266571664768827,0,-383.980337019919,10
"Mexico",1.08303051562318,0.918701914344976,0,0.700584494805937,0.900963979033962,0,0.299415428756987,0.0990359776418852,0,0.0112024016508763,-0.0249757155103903,-0.00636320122534577,0,-413.542863474123,1
"Germany",0.976592891206548,0.93229520831727,0.897175903682093,0.600006926139155,0.671280843311952,0.983895253817004,0.299998424170503,0.221802007822528,0.0161045563418473,0.0556868580110842,0.277363969713403,0.179990013933319,0.0730632390162331,-231.08530814389,1
"Ukraine",0.928522433217317,1.02504835646991,0,0.8050899885435,0.77776605436022,0,0.194909444863926,0.222232733068807,0,0.00645118381799251,0.00808707325917815,-0.00665652952462008,0,-295.36186590001,1
"Lesotho",0,0.503002106011609,0,0,0.997015423253063,0,0,0.000246485584441267,0,0.00100000044051678,0,-4.41032062039765e-05,0,-742.397418711865,1
"Indonesia",1.17530884899253,0.848868728045397,0,0.832482252234831,0.876860488187795,0,0.167517503581286,0.123136106138367,0,0.00927298263962614,0.0297846483371614,-0.00227606723147751,0,-418.278877854559,1
"Albania",0,0.585764026751842,0,0,0.998833175558744,0,0,0.000406943746696853,0,0.0010000005492578,0,-0.000585029126795179,0,-490.44525126439,1
"Jordan",0,0.472135112011681,0,0,0.937358713068842,0,0,0.0626411953824595,0,0.00280257754352615,0,-0.00133996485602795,0,-701.80656020329,0
"Nepal",1.33841369037645,0.464231277893326,0,0.746776079899317,0.795501495246234,0,0.244879553180549,0.202384460783276,0,0.00100000024258776,-5.51900016755161e-05,-5.02502271658407e-05,0,-876.055297558462,1
"Estonia",0,0.758268735862132,0,0,0.998999954560611,0,0,0.000959921993081744,0,0.00138325275485696,0,-9.51443771684211e-06,0,-520.485740420265,1
"Slovak Republic",0,0.408476060380332,0,0,0.998999998267745,0,0,0.000967097392987825,0,0.00566573566159507,0,-0.00299408630199594,0,-363.024867461989,0
"Romania",0.873068391756204,0.833666314845732,0,0.850628787552753,0.982167240961739,0,0.149370604235166,0.0178327382616659,0,0.00888548128511298,0.0332229250299384,-0.00486746251076519,0,-327.436523821153,1
"Sri Lanka",0.878828737956971,0.735551224535862,0,0.704253883819816,0.838341260374054,0,0.295690954491742,0.161658461062803,0,0.00178072603188293,0.0134152636767048,0.000212853817801026,0,-736.735104350731,10
"Aruba",0,0.323380628203203,0,0,0.8574358902689,0,0,0.142563863526164,0,0.00116528811615695,0,-5.21995986811255e-05,0,-635.748848310754,1
"Lithuania",0.821858873915762,0.820857888331573,0,0.779372071976235,0.833521006746845,0,0.220627136978812,0.166478981213335,0,0.00257216382433496,0.00930310404475364,-0.000206911400184655,0,-412.376931712846,1
"Bolivia",0,0.819770436778335,0,0,0.86292001258955,0,0,0.137078546693527,0,0.00144508149225325,0,-0.000799796301362652,0,-575.614931242756,1
"Croatia",0,0,-0.152828518741064,0,0,0.998999955893106,0,0,0.000935475861572003,0.0164061703830442,0,0,-0.00340708721722502,-259.834778964319,1
"Hungary",1.48198920862377,0.67458995045838,0,0.722989003278681,0.838649542188112,0,0.27701088491581,0.161350449927284,0,0.00519331033138653,0.404015664507257,0.000664488060035809,0,-392.210763128577,0
"United States",0,0.862313164332413,0.752225055977302,0,0.947138905194566,0.992785912718494,0,1.38015361786253e-05,2.3818373271102e-07,0.134677660172595,0,0.167007951459226,0.0110030295918904,-93.3903350239601,1
"Korea, Republic of",0.784602464164102,0.991029502029334,0.705192270689141,0.954830976233636,0.600003211099497,0.609654635960783,0.0451683594978804,0.0274436390464647,0.0296867665146696,0.0201048363020394,0.00758323405459603,0.110099600372354,0.129734838406641,-343.673158996234,1
"Czech Republic",1.09434837283879,0.957531299966419,0.777531852475542,0.600089833891816,0.833866468309307,0.600005234226471,0.243824781646276,0.166133283954322,0.000275315574558211,0.00886072445864225,0.0711057129189056,0.011212696972192,0.0513767031330173,-266.689590566969,1
"Guatemala",0,0.457739333385185,0,0,0.998999888060973,0,0,6.57663020496032e-05,0,0.0016618857331296,0,-0.000481663530371505,0,-800.632713865053,1
"Cabo Verde",0,0.550793082112645,0,0,0.998868478947612,0,0,0.000387917887193494,0,0.00100000858304895,0,-3.78356028758214e-06,0,-457.798777558217,1
"Moldova",0,0.591877968606453,0,0,0.998792410252555,0,0,0.00114588131729968,0,0.00100003378715152,0,-0.000471322865697993,0,-541.308417265634,1
"Pakistan",1.33438783432594,0.660002375499372,0,0.765357499122368,0.981490356441854,0,0.234642225065567,0.0185096090295791,0,0.00527496611277061,0.157982770957742,0.00231920363512983,0,-620.570448500084,1
"Chile",0.747027788485911,0.676228371909145,0,0.792411880533207,0.976658481825346,0,0.207588112534508,0.0233414662457149,0,0.00928539825253496,0.0330949083610412,-0.0016003763786495,0,-325.694818762109,1
"Australia",1.25821681048709,0.962681883315692,0,0.874873393834024,0.913179792818769,0,0.125126258151664,0.0868195489776341,0,0.0186127282986426,0.0215165231408414,-0.040671182414418,0,-246.897706375704,1
"Vanuatu",0,0.396875894685808,0,0,0.998779477972212,0,0,0.000385813171451533,0,0.00100001245871643,0,-2.57588114239681e-05,0,-698.017297088521,1
"Sweden",1.27682818240319,0.946293724427447,0,0.739282708896615,0.813104332549423,0,0.260717282397433,0.186895548525443,0,0.00842471596832665,0.043559249994755,0.0337520098249405,0,-499.002218823735,1
"Myanmar",1.55554299200126,0.448719811394364,0,0.69989204932677,0.813628810654899,0,0.299946445592847,0.186370975125167,0,0.00196993472841897,0.111638865223178,-2.82016069391058e-05,0,-752.084338142543,1
"Argentina",1.58137489685107,0.735740929016036,0,0.699928413635332,0.968834065167053,0,0.299988808803907,0.0311623286873914,0,0.0102968162293608,0.0657304956912943,-0.00331820037010301,0,-496.182144254031,1
"Slovenia",0,0.660812133689435,0,0,0.851339283429401,0,0,0.148660093822235,0,0.00195872906045637,0,0.00270959638692634,0,-468.785719239687,1
"Kazakhstan",0.641243305252981,0.632692785817205,0,0.947453470742752,0.72339445255115,0,0.0525458233220519,0.276605078858759,0,0.00987317195350864,-0.00208435750031124,0.0397300936024646,0,-260.571995797744,1
"Sudan",1.29961439323564,0.742027939212666,0,0.776181893650043,0.801661944108427,0,0.223817120450891,0.198337220575156,0,0.00223412704469656,0.0489479372112707,0.00169807175545601,0,-699.513618971273,1
"Finland",0.437201909401181,0,0,0.998999981395214,0,0,0.000983276517825723,0,0,0.0114879475335529,-0.00060528695799971,0,0,-507.819547748278,1
"Brazil",1.15267720182557,0.941869734382857,0,0.809484259883428,0.977134828129378,0,0.190498106297933,0.0228647531649207,0,0.025124225319954,0.106379713429565,0.00126043967435926,0,-356.418260966037,10
"Spain",1.16872619938703,0.847435308147138,1.17018586273117,0.600001277842188,0.992479241665618,0.701171151254601,0.0475635050142332,0.00752073733271093,0.298828760649081,0.0221287016744175,0.0255090890269699,-0.0221869239862674,0.109982435197978,-361.213179633741,0
"Ethiopia",1.09638106385115,0.916188708899267,0,0.766220050058587,0.827686586071137,0,0.233779630376928,0.172312510517007,0,0.00133358208351522,0.00892446586632992,-0.000368217636931615,0,-774.330105737899,1
"Georgia",0,0.668371564618017,0,0,0.998999988128157,0,0,0.000999231631422523,0,0.00119429847065194,0,-0.00130462345983034,0,-429.0691448479,0
"Malta",0,0.335346538756146,0,0,0.779954864146124,0,0,0.220044179461008,0,0.00133848904539949,0,-0.000213046388242708,0,-438.397820301703,1
"India",1.21024717511759,1.00815142248543,0.603086903325963,0.790370237193708,0.609047270657782,0.967372368861502,0.165805307451132,0.183378727969471,8.36284741615931e-07,0.0172428845392187,0.0480163821444748,-0.0174578586593216,0.013622108511695,-394.863724111155,1
"Bangladesh",1.39391051226949,0.295915715622576,0,0.851131752254881,0.797840076497647,0,0.148835643379545,0.202157260032288,0,0.00328543422830922,0.366085132845671,0.00157073605371541,0,-682.563627765461,1
"Turkey",1.05156137375395,1.0113229151451,0.617354500229357,0.640737663956978,0.699998335376932,0.97760489072336,0.299989834190621,0.299999045141021,2.49325494418295e-07,0.0156336453395284,0.121032722895376,0.140548816042448,0.0109570036847951,-313.615668619756,1
"Nicaragua",0,0.376071925631646,0,0,0.997440818597703,0,0,0.00253669706875386,0,0.00100001830387786,0,-0.00210641943645476,0,-573.562397510189,1
"Norway",1.1789079715441,1.10759454936905,1.0066583575703,0.892168471090029,0.646170492132441,0.600019892555328,2.79154404695602e-08,0.202210704782745,0.154846717731937,0.0136499144917455,0.00861865101023384,0.122543934885813,0.0994559121810439,-214.304919971406,1
"Israel",0.983914974387604,0.823861396338762,0,0.699937696995074,0.959404299000585,0,0.29999943603662,0.0405955903985643,0,0.00849975980387112,-0.0311267002409991,0.00842679171221118,0,-565.992904914134,1
"Kyrgyz Republic",0,0.454655779886329,0,0,0.761509581123622,0,0,0.237272867068031,0,0.0010000392664576,0,-0.000919953233937738,0,-503.278653701787,1
"Bulgaria",0,0.417632030855164,0,0,0.998999981250157,0,0,0.000987716494608206,0,0.00809192599348595,0,-0.00200896248558485,0,-355.633946290429,0
"Canada",1.17997210890181,0.976425972591454,0.678997441778175,0.750318266823668,0.911479040760877,0.60019683682613,0.227200080032514,0.0885192645852877,0.000106056843864072,0.0133728733553347,0.143239716450193,0.0215480858736777,0.0971925956145392,-701.492854517136,1
"Belarus",0,0.496453742724715,0,0,0.998999992319795,0,0,0.000946639327605471,0,0.00643033807864815,0,-0.00326296469644352,0,-307.206030565863,1
